Rank,Channel_Name,Subscriber_Count,Video_Views,Video_Count,Genre,Channel_Started,Channel_Age,Avg_Views_Per_Video,Upload_Consistency,Health_Score,Creator_Segment,Growth_Score
91,Little Angel: Nursery Rhymes & Kids Songs,0.1109396433470507,0.0502742365245377,1232,Education,2015,11,0.0179561400138563,0.0059394013327437,5.84,Stable Creator,12.27
92,etvteluguindia,0.0642146776406035,0.0501098522958145,120122,Entertainment,2010,16,0.00015057890545,0.4006494075847451,9.76,Growing Creator,14.15
93,LUCCAS NETO - LUCCAS TOON,0.1503772290809328,0.049886026812946,2067,People & Blogs,2014,12,0.0106495140754373,0.0091549886396559,7.11,Stable Creator,13.26
94,LeoNata Family,0.0534979423868312,0.0496066755265602,1871,People & Blogs,2021,5,0.0117373686680522,0.0199332103264764,3.89,Stable Creator,13.74
95,The Weeknd,0.1173696844993141,0.0494606527569706,131,Music,2011,15,0.1678516237316586,0.0004279825350594,8.96,Growing Creator,9.94
96,Rihanna,0.1606652949245542,0.0492268569188266,82,Entertainment,2005,21,0.2675760019371163,0.0001702780869892,12.45,Elite Creator,7.91
98,Bollywood Classics,0.1268004115226337,0.0463309112904192,1970,Music,2012,14,0.010797477549293,0.0074719041156467,6.16,Stable Creator,10.95
99,HUM TV,0.0929355281207133,0.0460785379069155,89867,Entertainment,2011,15,0.0002032018008825,0.3197131195453829,9.43,Growing Creator,14.05
100,Spinnin' Records,0.1122256515775034,0.0457927193427611,11110,Music,2007,19,0.0018767592484496,0.0311697181623449,5.81,Growing Creator,7.75
101,A4,0.1743827160493827,0.0454556095357476,722,Gaming,2014,12,0.0292654359426834,0.0031730177851649,8.1,Stable Creator,14.0
102,Inside Edition,0.0333504801097393,0.0451627736370996,29223,News & Politics,2012,14,0.0006881384139234,0.1113656810869333,4.21,Stable Creator,8.75
103,Maluma,0.1083676268861454,0.0447241939536778,21,Music,2018,8,1.0000000000000002,0.0001019762423946,25.14,Elite Creator,13.8
104,shfa,0.1443758573388203,0.0443381191229044,936,People & Blogs,2015,11,0.022316599348082,0.0045032431390869,6.9,Stable Creator,13.41
105,Alan Chikin Chow,0.0659293552812071,0.0436878815013647,702,Comedy,2020,6,0.0295726322241733,0.0062062550511596,4.3,Stable Creator,13.36
106,jbalvinVEVO,0.0406378600823045,0.0436006029236699,235,Music,2010,16,0.0883294220929081,0.0007457608380731,4.51,Growing Creator,6.07
107,T-Series Apna Punjab,0.1289437585733882,0.0433836459073357,7272,Music,2011,15,0.0028156249530863,0.0258360145778374,6.26,Growing Creator,10.63
108,Bounce Patrol - Kids Songs,0.101937585733882,0.0433093628579528,238,Music,2013,13,0.0869592436857549,0.0009389731938108,6.62,Stable Creator,10.39
109,Voot Kids,0.1683813443072702,0.0420842325880579,4064,Entertainment,2016,10,0.0049977676288449,0.0216517482730752,7.58,Stable Creator,15.11
110,Disney Latinoamérica,0.0749314128943758,0.0420107561042451,7985,Entertainment,2007,19,0.0025251878204308,0.0223916353197148,4.27,Growing Creator,5.97
111,WORLDSTARHIPHOP,0.0967935528120713,0.0419820917722304,6737,Music,2008,18,0.0029983085693645,0.0199373613843184,5.01,Growing Creator,7.4
112,StarPlus,0.0985082304526749,0.041890732333439,28853,Entertainment,2006,20,0.0006736367399741,0.0769571814147821,5.87,Growing Creator,7.49
113,LEGO,0.0513545953360768,0.0414399857293284,29807,Entertainment,2005,21,0.0006478316306771,0.075715295038554,4.19,Growing Creator,5.02
114,EminemVEVO,0.0903635116598079,0.041090467177732,104,Music,2009,17,0.1945765479521243,0.0002883814133469,8.29,Growing Creator,7.35
115,DONA 도나,0.1126543209876543,0.0409189832530021,163,Entertainment,2018,8,0.1239144241074916,0.0010493069427713,7.66,Stable Creator,13.87
116,Markiplier,0.1319444444444444,0.0404073637485383,5422,Gaming,2012,14,0.0036728046251467,0.0206316046295307,6.21,Stable Creator,11.18
117,ArianaGrandeVevo,0.0603566529492455,0.0402854880552475,177,Music,2010,16,0.1133608260771036,0.0005522918922215,5.6,Growing Creator,6.76
118,BANGTANTV,0.2999828532235939,0.0399926491386762,2122,Music,2012,14,0.0093958927738906,0.0080513579042071,12.01,Elite Creator,17.7
119,Maroon5VEVO,0.0462105624142661,0.0398731894416051,143,Music,2009,17,0.1397177317484704,0.0004108201782672,5.61,Growing Creator,5.55
120,CVS 3D Rhymes & Kids Songs,0.121656378600823,0.0395905926640389,338,Education,2008,18,0.0589167837894796,0.0009640620049439,6.64,Growing Creator,7.95
121,GRAMMY GOLD OFFICIAL,0.0616426611796982,0.0388646952253306,6012,Music,2014,12,0.0032553088768763,0.0267006206255051,3.79,Stable Creator,9.6
122,Like Nastya Show,0.1649519890260631,0.0382787328883268,577,Entertainment,2017,9,0.0340225385585176,0.0033835357185819,7.65,Stable Creator,15.28
123,Badabun,0.1833847736625514,0.0378703274589871,17002,Entertainment,2014,12,0.0011170966623271,0.0755793267153611,8.71,Stable Creator,15.08
124,DanTDM,0.0972222222222222,0.0373589503976036,3642,Gaming,2012,14,0.0053089518547321,0.0138458957898107,4.84,Stable Creator,9.59
125,SMOL,0.0603566529492455,0.036737571610547,3008,People & Blogs,2021,5,0.0063917407008827,0.0320697174400341,3.82,Stable Creator,13.69
126,RihannaVEVO,0.0920781893004115,0.0366312880491332,118,Music,2009,17,0.1635704688172879,0.0003323337904978,7.6,Growing Creator,7.29
127,JYP Entertainment,0.0976508916323731,0.0359932498969984,1602,Music,2008,18,0.0119336610877426,0.0047118742280303,4.81,Growing Creator,6.95
128,Bruno Mars,0.1392318244170096,0.0351013316814879,99,Music,2006,20,0.1917316835203371,0.000226063221458,9.76,Growing Creator,7.25
129,MalumaVEVO,0.0444958847736625,0.0349220750736299,178,Music,2011,15,0.1064113799788954,0.0005952108652668,4.74,Growing Creator,6.59
130,Rotana,0.0745027434842249,0.0328565778454,8257,Music,2012,14,0.0022086377291349,0.031439180225377,4.11,Stable Creator,8.82
131,Sun TV,0.0745027434842249,0.0327239222572195,48263,People & Blogs,2016,10,0.0003493991779107,0.2575450982784123,7.46,Stable Creator,13.63
132,BuzzFeedVideo,0.0706447187928669,0.0315573691890945,7493,People & Blogs,2011,15,0.0024009404435471,0.0266223435347697,3.87,Growing Creator,7.96
133,Marília Mendonça,0.0942215363511659,0.031449990223946,120,Music,2013,13,0.1517982772571526,0.0004545310588403,7.28,Stable Creator,9.72
134,ZEE5,0.0440672153635116,0.0300818778566542,93640,Entertainment,2018,8,0.0001578704481083,0.6246664328519801,11.82,Stable Creator,16.21
135,Eros Now Music,0.121656378600823,0.0294480333160067,9884,Entertainment,2007,19,0.0017672919969007,0.0277259007015243,5.59,Growing Creator,7.57
136,Like Nastya ESP,0.1388031550068587,0.0294093178663614,695,Entertainment,2017,9,0.0255668186964615,0.0040832854690949,6.31,Stable Creator,13.97
138,PowerKids TV,0.1285150891632373,0.0284873783406309,4210,Film & Animation,2014,12,0.0041466855463796,0.0186861139490792,5.72,Stable Creator,11.86
139,infobells - Tamil,0.1032235939643347,0.0282085158164137,505,Education,2014,12,0.0347005331013216,0.0022078968368939,5.19,Stable Creator,10.63
140,Enrique Iglesias,0.0847908093278463,0.0280162170998913,434,Music,2007,19,0.0402900281522038,0.0011809781854107,4.63,Growing Creator,5.51
